relationship_type,source_ticker,source_isin,source_company_id,target_ticker,target_isin,target_company_id,theme_id,layer_id,confidence,source_url,rationale,last_reviewed
related_play,,,nvidia,,,microsoft,ai_infrastructure,cloud,manual_high,https://nvidianews.nvidia.com/news/nvidia-microsoft-accelerate-cloud-enterprise-ai,NVIDIA and Microsoft collaborate on Azure AI infrastructure.,2026-05-16
upstream_supplier,,,taiwan_semiconductor_manufacturing_company_limited,,,nvidia,ai_infrastructure,foundry_and_packaging,manual_medium,https://investor.nvidia.com/news/press-release-details/2024/Computer-Industry-Joins-NVIDIA-to-Build-AI-Factories-and-Data-Centers-for-the-Next-Industrial-Revolution/default.aspx,TSMC is identified as an NVIDIA foundry partner.,2026-05-16
upstream_supplier,,,taiwan_semiconductor_manufacturing_company_limited,,,advanced_micro_devices_inc,semiconductors,foundry_and_packaging,manual_high,https://ir.amd.com/financial-information/sec-filings/content/0000002488-25-000012/amd-20241228.htm,AMD reports using TSMC for wafer production.,2026-05-16
related_play,,,synopsys_inc,,,nvidia,semiconductors,design_tools,manual_medium,https://investor.nvidia.com/news/press-release-details/2024/TSMC-and-Synopsys-Bring-Breakthrough-NVIDIA-Computational-Lithography-Platform-to-Production/default.aspx,Synopsys and NVIDIA collaborate on computational lithography.,2026-05-16
related_play,,,taiwan_semiconductor_manufacturing_company_limited,,,synopsys_inc,semiconductors,design_tools,manual_medium,https://investor.nvidia.com/news/press-release-details/2024/TSMC-and-Synopsys-Bring-Breakthrough-NVIDIA-Computational-Lithography-Platform-to-Production/default.aspx,TSMC and Synopsys collaborate on computational lithography flows.,2026-05-16
peer,,,advanced_micro_devices_inc,,,nvidia,ai_infrastructure,accelerators,manual_high,https://ir.amd.com/financial-information/sec-filings/content/0000002488-25-000012/amd-20241228.htm,AMD identifies NVIDIA as a data-centre GPU competitor.,2026-05-16
peer,,,lockheed_martin_corporation,,,rtx_corporation,defence,primes,manual_high,https://www.lockheedmartin.com/content/dam/lockheed-martin/eo/documents/annual-reports/lockheed-martin-annual-report-2024.pdf,Lockheed identifies RTX among primary competitors.,2026-05-16
peer,,,lockheed_martin_corporation,,,northrop_grumman_corporation,defence,primes,manual_high,https://www.lockheedmartin.com/content/dam/lockheed-martin/eo/documents/annual-reports/lockheed-martin-annual-report-2024.pdf,Lockheed identifies Northrop Grumman among primary competitors.,2026-05-16
peer,,,visa_inc,,,mastercard_incorporated,fintech,payments,manual_high,https://investor.mastercard.com/files/doc_financials/2024/q4/MA-12-31-2024-10-K-as-filed-with-exhibits.pdf,Mastercard annual report supports Visa as a payment network peer.,2026-05-16
peer,,,t_mobile_us_inc,,,verizon_communications_inc,connectivity_infrastructure,telecom_operators,manual_medium,https://investor.t-mobile.com/financial-performance/annual-reports/default.aspx,US mobile network operators reviewed as telecom operator peers.,2026-05-17
peer,,,t_mobile_us_inc,,,at_t_inc,connectivity_infrastructure,telecom_operators,manual_medium,https://investor.t-mobile.com/financial-performance/annual-reports/default.aspx,US mobile network operators reviewed as telecom operator peers.,2026-05-17
peer,,,verizon_communications_inc,,,at_t_inc,connectivity_infrastructure,telecom_operators,manual_medium,https://www.verizon.com/about/investors,US telecom incumbents reviewed as telecom operator peers.,2026-05-17
peer,,,deutsche_telekom_ag,,,t_mobile_us_inc,connectivity_infrastructure,telecom_operators,manual_medium,https://www.telekom.com/en/investor-relations,Deutsche Telekom and T-Mobile US are reviewed as connected telecom operator exposures.,2026-05-17
upstream_supplier,,,american_tower,,,t_mobile_us_inc,connectivity_infrastructure,tower_infrastructure,manual_medium,https://www.americantower.com/investor-relations/,Tower infrastructure supports mobile network operator deployment.,2026-05-17
upstream_supplier,,,american_tower,,,verizon_communications_inc,connectivity_infrastructure,tower_infrastructure,manual_medium,https://www.americantower.com/investor-relations/,Tower infrastructure supports mobile network operator deployment.,2026-05-17
upstream_supplier,,,crown_castle,,,at_t_inc,connectivity_infrastructure,tower_infrastructure,manual_medium,https://investor.crowncastle.com/,Tower and fibre infrastructure supports mobile network operator deployment.,2026-05-17
upstream_supplier,,,crown_castle,,,verizon_communications_inc,connectivity_infrastructure,tower_infrastructure,manual_medium,https://investor.crowncastle.com/,Tower and fibre infrastructure supports mobile network operator deployment.,2026-05-17
peer,,,the_toronto_dominion_bank,,,wells_fargo_company,financial_system,diversified_banks,manual_medium,https://www.td.com/ca/en/about-td/for-investors/investor-relations,Large North American banks reviewed as diversified bank peers.,2026-05-17
peer,,,wells_fargo_company,,,bank_of_america_corporation,financial_system,diversified_banks,manual_medium,https://www.wellsfargo.com/about/investor-relations/annual-reports/,Large US banks reviewed as diversified bank peers.,2026-05-17
peer,,,jpmorgan_chase_co,,,wells_fargo_company,financial_system,diversified_banks,manual_medium,https://www.jpmorganchase.com/ir/annual-report,Large US banks reviewed as diversified bank peers.,2026-05-17
peer,,,novartis_ag_n,,,gilead_sciences_inc,healthcare,large_pharma,manual_medium,https://www.novartis.com/investors,Large drug manufacturers reviewed as healthcare peers.,2026-05-17
peer,,,amgen_inc,,,gilead_sciences_inc,healthcare,large_pharma,manual_medium,https://investors.amgen.com/,Large biopharma manufacturers reviewed as healthcare peers.,2026-05-17
peer,,,novartis_ag_n,,,amgen_inc,healthcare,large_pharma,manual_medium,https://www.novartis.com/investors,Large drug manufacturers reviewed as healthcare peers.,2026-05-17
peer,,,intuit_inc,,,automatic_data_processing_inc,enterprise_software,erp_crm_workflow,manual_medium,https://investors.intuit.com/,Application software franchises reviewed as enterprise workflow peers.,2026-05-17
peer,,,intuit_inc,,,paychex_inc,enterprise_software,erp_crm_workflow,manual_medium,https://investors.intuit.com/,Payroll and small-business software franchises reviewed as enterprise workflow peers.,2026-05-17
peer,,,intuit_inc,,,fiserv_inc,fintech,banking_software,manual_medium,https://investors.intuit.com/,Financial workflow software franchises reviewed as fintech-adjacent peers.,2026-05-17
peer,,,honeywell_international_inc,,,emerson_electric_co_r,industrial_automation,automation_controls,manual_medium,https://investor.honeywell.com/,Industrial automation and controls companies reviewed as peers.,2026-05-17
peer,,,honeywell_international_inc,,,siemens_aktiengesellschaft,industrial_automation,automation_controls,manual_medium,https://investor.honeywell.com/,Industrial automation and controls companies reviewed as peers.,2026-05-17
peer,,,emerson_electric_co_r,,,abb_ltd_n,industrial_automation,automation_controls,manual_medium,https://www.emerson.com/en-us/investors,Industrial automation and electrification companies reviewed as peers.,2026-05-17
peer,,,brookfield_corporation,,,brookfield_asset_management_ltd,financial_system,asset_management,manual_medium,https://bn.brookfield.com/,Brookfield listed entities reviewed as related asset-management exposures.,2026-05-17
peer,,,brookfield_corporation,,,blackstone,financial_system,asset_management,manual_medium,https://bn.brookfield.com/,Alternative asset managers reviewed as asset-management peers.,2026-05-17
peer,,,blackstone,,,kkr_co_inc,financial_system,asset_management,manual_medium,https://www.blackstone.com/investors/,Alternative asset managers reviewed as asset-management peers.,2026-05-17
peer,,,kkr_co_inc,,,ares_management_corporation,financial_system,asset_management,manual_medium,https://ir.kkr.com/,Alternative asset managers reviewed as asset-management peers.,2026-05-17
